,link_photo,name,brand,type
101,https://media.auchan.fr/MEDIASTEP139198606_230x230/B2CD/,"Bière blanche Weissbier  5,3% bouteille",ERDINGER,
102,https://media.auchan.fr/MEDIASTEP69765833_230x230/B2CD/,Bière blonde belge triple 11%,KASTEEL,
103,https://media.auchan.fr/MEDIASTEP158713491_230x230/B2CD/,Bière origine aromatisée au jus de cerise 7.5% bouteilles,SLASH,
104,https://media.auchan.fr/MEDIASTEP57977810_230x230/B2CD/,"Bière blonde artisanale 7,5%",LA CHOULETTE,
105,https://media.auchan.fr/MEDIASTEP72100062_230x230/B2CD/,"Bière belge artisanale lambic Kriek 3,5%",LINDEMANS,
106,https://media.auchan.fr/MEDIASTEP67410464_230x230/B2CD/,"Bière blonde bio sans gluten 4,5% bouteilles",JADE,
107,https://media.auchan.fr/MEDIASTEP66806484_230x230/B2CD/,"Bière ambrée à l'ancienne 7,2%",LA GOUDALE,
108,https://media.auchan.fr/MEDIASTEP92642703_230x230/B2CD/,Bière rousse 5% bouteille,TERRE DE BIERES,
109,https://media.auchan.fr/MEDIASTEP106866723_230x230/B2CD/,"Coffret bière blonde 8,4%",KARMELIET,
110,https://media.auchan.fr/MEDIASTEP73797918_230x230/B2CD/,"Bière blonde des Flandres 8,5% bouteilles",3 MONTS,
111,https://media.auchan.fr/MEDIASTEP138310398_230x230/B2CD/,Bière triple hop 9.5% bouteille,DUVEL,
112,https://media.auchan.fr/MEDIASTEP162667649_230x230/B2CD/,"Bière blonde bio Sylvanus 6,9%",BRASSERIE MONT BLANC,
113,https://media.auchan.fr/MEDIASTEP137799362_230x230/B2CD/,"Bière lambic Faro aromatisée 4,5% bouteille",LINDEMANS,
114,https://media.auchan.fr/MEDIASTEP59250389_230x230/B2CD/,Bière de Noël ambrée 6.6%,LEFFE,
115,https://media.auchan.fr/MEDIASTEP163330347_230x230/B2CD/,Bière Belge blonde 8.5%,VICTORIA,
116,https://media.auchan.fr/MEDIASTEP161565949_230x230/B2CD/,Bière blonde belge Tremens 8.5%,DELIRIUM,
117,https://media.auchan.fr/MEDIASTEP65706625_230x230/B2CD/,"Bière blonde bio 4,5% bouteilles",JADE,
118,https://media.auchan.fr/MEDIASTEP157103263_230x230/B2CD/,"Bière Punk IPA 5,4% bouteille",BREWDOG,
119,https://media.auchan.fr/MEDIASTEP134356763_230x230/B2CD/,"Bière blonde triple 8,4% bouteilles",KARMELIET,
120,https://media.auchan.fr/MEDIASTEP84341413_230x230/B2CD/,Bière Grande Réserve triple 9.5% bouteille,3 MONTS,
121,https://media.auchan.fr/MEDIASTEP106850473_230x230/B2CD/,"Coffret hiver bière blonde et fruits rouges 8,5% bouteilles",RINCE COCHON,
122,https://media.auchan.fr/MEDIASTEP161958776_230x230/B2CD/,"Bière blonde 6,7%",GRIMBERGEN,
123,https://media.auchan.fr/MEDIASTEP105961235_230x230/B2CD/,Bière blonde de caractère 9%,LA CERVOISE DES ANCETRES,
124,https://media.auchan.fr/MEDIASTEP161672310_230x230/B2CD/,Bière blonde 3 grains 7%,L'ANGELUS,
125,https://media.auchan.fr/MEDIASTEP137800386_230x230/B2CD/,"Bière brune Stout bio 5,50% bouteille",VEZELAY,
126,https://media.auchan.fr/MEDIASTEP66053853_230x230/B2CD/,"Bière ambrée à l'ancienne 7,2% bouteille",LA GOUDALE,
127,https://media.auchan.fr/MEDIASTEP106866700_230x230/B2CD/,"Bière blonde coffret dégustation 7,2% bouteille",LA GOUDALE,
128,https://media.auchan.fr/MEDIASTEP106850753_230x230/B2CD/,Bière blonde triple Belge 10% bouteille,MAREDSOUS,
129,https://media.auchan.fr/MEDIASTEP105961232_230x230/B2CD/,"Bière rouge 7,5%",RINCE COCHON,
130,https://media.auchan.fr/MEDIASTEP138002731_230x230/B2CD/,Bière blonde tradition d'alsace 6% verre consigné,FISCHER,
131,https://media.auchan.fr/MEDIASTEP64271957_230x230/B2CD/,Bière black 6% bouteilles,LICORNE,
132,https://media.auchan.fr/MEDIASTEP72430284_230x230/B2CD/,"Bière blonde 8,5%",RINCE COCHON,
133,https://media.auchan.fr/MEDIASTEP57431930_230x230/B2CD/,Bière blonde triple d'abbaye 10%,PAIX DIEU,
134,https://media.auchan.fr/MEDIASTEP158713815_230x230/B2CD/,Bière blonde bio 4.7% boîte,LICORNE,
135,https://media.auchan.fr/MEDIASTEP105961233_230x230/B2CD/,Bière blonde forte 9% bouteille,BIERE DU CORBEAU,
136,https://media.auchan.fr/MEDIASTEP105961528_230x230/B2CD/,Bière blonde 7% boîte,CUVEE DES TROLLS,
