;index;link_photo;name;brand;type;website;price
66;66;https://media.auchan.fr/MEDIASTEP105961531_230x230/B2CD/;Bière blanche 4,5% bouteille;BLANCHE DE NAMUR;;Auchan;
67;67;https://media.auchan.fr/MEDIASTEP67374992_230x230/B2CD/;Blanc Bière aromatisée au génépi 5,9%;BRASSERIE MONT BLANC;;Auchan;
68;68;https://media.auchan.fr/MEDIASTEP65823859_230x230/B2CD/;Bière belge artisanale aromatisée cassis 3,5% bouteille;LINDEMANS;;Auchan;
69;69;https://media.auchan.fr/MEDIASTEP92642704_230x230/B2CD/;Bière ambrée 6% bouteille;TERRE DE BIERES;;Auchan;
70;70;https://media.auchan.fr/MEDIASTEP69765892_230x230/B2CD/;Bière blonde triple 8.2%;DOMINICAINS;;Auchan;
71;71;https://media.auchan.fr/MEDIASTEP92642702_230x230/B2CD/;Bière blonde 5% bouteille;TERRE DE BIERES;;Auchan;
72;72;https://media.auchan.fr/MEDIASTEP106866725_230x230/B2CD/;Kwak Coffret bière blonde belge 8% bouteilles 4x33cl;KWAK;;Auchan;
73;73;https://media.auchan.fr/MEDIASTEP58889082_230x230/B2CD/;Bière blonde de caractère 9%;LA BÊTE;;Auchan;
74;74;https://media.auchan.fr/MEDIASTEP140426101_230x230/B2CD/;Scotch whisky écossais single malt IPA 43%;GLENFIDDICH;;Auchan;
75;75;https://media.auchan.fr/MEDIASTEP85730603_230x230/B2CD/;Bière Belge d'Abbaye ambrée 6,6%;LEFFE;;Auchan;
76;76;https://media.auchan.fr/MEDIASTEP134398739_230x230/B2CD/;Bière blonde East IPA 6,9% bouteille;BROOKLYN;;Auchan;
77;77;https://media.auchan.fr/MEDIASTEP62732831_230x230/B2CD/;Bière rouge belge 8%;KASTEEL;;Auchan;
78;78;https://media.auchan.fr/MEDIASTEP166534762_230x230/B2CD/;Bière blonde Héritage houblons aromatiques 7%;3 MONTS;;Auchan;
79;79;https://media.auchan.fr/MEDIASTEP57431506_230x230/B2CD/;Bière blonde Nectar aromatisée miel 5,5% bouteilles;LEFFE;;Auchan;
80;80;https://media.auchan.fr/MEDIASTEP57431800_230x230/B2CD/;Bière ambrée 7.2% bouteilles;GOUDALE;;Auchan;
81;81;https://media.auchan.fr/MEDIASTEP77419426_230x230/B2CD/;Bière blonde La Pêcheresse artisanale 2,5% bouteille;LINDEMANS;;Auchan;
82;82;https://media.auchan.fr/MEDIASTEP69558515_230x230/B2CD/;Bière blonde Quadrupel 9   9.2%;DOMINICAINS;;Auchan;
83;83;https://media.auchan.fr/MEDIASTEP133373805_230x230/B2CD/;Bière Punk IPA 5.4%;BREWDOG;;Auchan;
84;84;https://media.auchan.fr/MEDIASTEP82317780_230x230/B2CD/;Bière blonde triple 8,5%;LEFFE;;Auchan;
